Subject,Game,Valence,Arousal
S01,G1,NV,LA
S02,G1,NV,LA
S03,G1,NV,LA
S04,G1,NV,LA
S05,G1,NV,LA
S06,G1,NV,LA
S07,G1,NV,LA
S08,G1,NV,LA
S09,G1,PV,HA
S10,G1,PV,HA
S11,G1,PV,LA
S12,G1,PV,LA
S13,G1,PV,LA
S14,G1,NV,LA
S15,G1,NV,LA
S16,G1,NV,LA
S17,G1,NV,LA
S18,G1,PV,LA
S19,G1,PV,LA
S20,G1,NV,LA
S21,G1,NV,LA
S22,G1,NV,LA
S23,G1,NV,LA
S24,G1,NV,LA
S25,G1,NV,LA
S26,G1,PV,LA
S27,G1,NV,LA
S28,G1,NV,LA
S01,G2,PV,LA
S02,G2,PV,HA
S03,G2,PV,HA
S04,G2,PV,HA
S05,G2,PV,HA
S06,G2,PV,HA
S07,G2,PV,HA
S08,G2,PV,HA
S09,G2,PV,LA
S10,G2,NV,HA
S11,G2,PV,LA
S12,G2,PV,HA
S13,G2,NV,LA
S14,G2,PV,HA
S15,G2,PV,LA
S16,G2,PV,LA
S17,G2,PV,LA
S18,G2,PV,HA
S19,G2,NV,LA
S20,G2,PV,LA
S21,G2,PV,HA
S22,G2,PV,LA
S23,G2,NV,LA
S24,G2,PV,HA
S25,G2,NV,LA
S26,G2,NV,LA
S27,G2,PV,LA
S28,G2,PV,LA
S01,G3,NV,HA
S02,G3,NV,HA
S03,G3,NV,HA
S04,G3,NV,HA
S05,G3,NV,HA
S06,G3,NV,HA
S07,G3,PV,HA
S08,G3,NV,LA
S09,G3,NV,HA
S10,G3,NV,HA
S11,G3,NV,LA
S12,G3,PV,HA
S13,G3,NV,LA
S14,G3,NV,HA
S15,G3,NV,HA
S16,G3,NV,HA
S17,G3,NV,HA
S18,G3,NV,HA
S19,G3,NV,HA
S20,G3,NV,HA
S21,G3,NV,HA
S22,G3,NV,HA
S23,G3,NV,LA
S24,G3,NV,HA
S25,G3,NV,HA
S26,G3,NV,HA
S27,G3,NV,HA
S28,G3,NV,LA
S01,G4,PV,HA
S02,G4,PV,HA
S03,G4,PV,HA
S04,G4,PV,HA
S05,G4,PV,HA
S06,G4,PV,HA
S07,G4,PV,HA
S08,G4,PV,HA
S09,G4,PV,LA
S10,G4,PV,HA
S11,G4,PV,HA
S12,G4,PV,HA
S13,G4,PV,LA
S14,G4,PV,HA
S15,G4,PV,HA
S16,G4,PV,HA
S17,G4,PV,HA
S18,G4,PV,HA
S19,G4,PV,LA
S20,G4,PV,HA
S21,G4,PV,HA
S22,G4,PV,HA
S23,G4,PV,HA
S24,G4,PV,HA
S25,G4,PV,HA
S26,G4,PV,HA
S27,G4,PV,HA
S28,G4,PV,LA
